id,name
1,Special Events
360,DIVVY Map Frame B/C Station
361,DIVVY CASSETTE REPAIR MOBILE STATION
363,TS ~ DIVVY PARTS TESTING
372,California Ave & Augusta Blvd
372,Humboldt Dr & Luis Munoz Marin Dr
397,Saginaw Ave & Exchange Ave
459,Lakefront Trail & Bryn Mawr Ave
512,BBB ~ Divvy Parts Testing
606,Forest Ave & Chicago Ave
607,Cuyler Ave & Augusta St
608,Humphrey Ave & Ontario St
609,Forest Ave & Lake St
610,Marion St & South Blvd
611,Oak Park Ave & South Blvd
612,Ridgeland Ave & Lake St
613,Wisconsin Ave & Madison St
613,Wisconsin Ave & Madison St (Temp)
614,East Ave & Madison St
615,Lombard Ave & Madison St
616,Oak Park Ave & Harrison St
617,East Ave & Garfield St
618,Lombard Ave & Garfield St
651,Michigan Ave & 71st St
669,LBS - BBB La Magie
671,HUBBARD ST BIKE CHECKING (LBS-WH-TEST)
